asin,title,category_primary,all_categories,price,recovered_image_url,canonical_source_url,url_count,has_clean_url,has_trashed_dupe
B0CGJJ2N82,Hemlock,electronics,electronics,6.99,,https://techwhizmart.com/product/hemlock/,1,True,False
B08NWBY8YJ,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,electronics,cellphones;electronics,91.98,https://m.media-amazon.com/images/I/31iCmEzmpOL.jpg,https://techwhizmart.com/product/moto-g-power-2021-3-day-battery-unlocked-made-for-us-by-motorola-4-64gb-48mp-camera-gray__trashed/,1,False,True
B0D1ZFS9GH,Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,electronics,cellphones;electronics,249.99,https://m.media-amazon.com/images/I/412KEd+cz3L.jpg,https://techwhizmart.com/product/moto-g-stylus-5g-2024-unlocked-made-for-us-8-256gb-50mp-camera-caramel-latte/,1,True,False
B0BFYRV4CD,Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,electronics,cellphones;electronics,108.30,https://m.media-amazon.com/images/I/41wKBxAos4L.jpg,https://techwhizmart.com/product/motorola-moto-g-stylus-5g-2021-2-day-battery-unlocked-made-for-us-4-128gb-48mp-camera-cosmic-emerald__trashed/,1,False,True
B0DLG4WKKG,"NUU N20 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 6GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6"" 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (Blue)",electronics,cellphones;electronics,109.99,https://m.media-amazon.com/images/I/41NZ5zPwKAL.jpg,https://techwhizmart.com/product/nuu-n20-basic-cell-phone-for-t-mobile-mint-metro-qlink-tello-and-more-6gb-128gb-perfect-for-teenagers-dual-sim-4g-octa-core-6-6-90hz-hd-unlocked-phones-android-phone-14-us-warranty-blue/,1,True,False
B0DLGKWNMR,"NUU N20 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 6GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6"" 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (Green)",electronics,cellphones;electronics,109.99,https://m.media-amazon.com/images/I/41N+kp2LURL.jpg,https://techwhizmart.com/product/nuu-n20-basic-cell-phone-for-t-mobile-mint-metro-qlink-tello-and-more-6gb-128gb-perfect-for-teenagers-dual-sim-4g-octa-core-6-6-90hz-hd-unlocked-phones-android-phone-14-us-warranty-green/,1,True,False
B0DLGHZ3YN,"NUU N20 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 6GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6"" 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (Purple)",electronics,cellphones;electronics,109.99,https://m.media-amazon.com/images/I/41Qh1Ci000L.jpg,https://techwhizmart.com/product/nuu-n20-basic-cell-phone-for-t-mobile-mint-metro-qlink-tello-and-more-6gb-128gb-perfect-for-teenagers-dual-sim-4g-octa-core-6-6-90hz-hd-unlocked-phones-android-phone-14-us-warranty-purple/,1,True,False
B09R6FJWWS,"SAMSUNG Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen…",electronics,cellphones;electronics,349.00,https://m.media-amazon.com/images/I/418G4uJniEL.jpg,https://techwhizmart.com/product/samsung-galaxy-a53-5g-a-series-cell-phone-factory-unlocked-android-smartphone-128gb-6-5-fhd-super-amoled-screen-long-battery-life-us-version-black__trashed/,1,False,True
B09MVZSW5V,"SAMSUNG Galaxy S22 Ultra Cell Phone, Factory Unlocked Android Smartphone, 128GB, 8K Camera & Video, Brightest Display…",electronics,cellphones;electronics,899.99,https://m.media-amazon.com/images/I/41Te8HXFyjL.jpg,https://techwhizmart.com/product/samsung-galaxy-s22-ultra-cell-phone-factory-unlocked-android-smartphone-128gb-8k-camera-video-brightest-display-screen-s-pen-long-battery-life-fast-4nm-processor-us-version-phantom-black__trashed/,1,False,True
B09MVYNR2H,"SAMSUNG Galaxy S22+ Cell Phone, Factory Unlocked Android Smartphone, 256GB, 8K Camera & Video, Brightest Display Screen, Long Battery Life, Fast 4nm Processor, US Version, Green",electronics,cellphones;electronics,570.00,https://m.media-amazon.com/images/I/31QFN6sUEdL.jpg,https://techwhizmart.com/product/samsung-galaxy-s22-cell-phone-factory-unlocked-android-smartphone-256gb-8k-camera-video-brightest-display-screen-long-battery-life-fast-4nm-processor-us-version-green__trashed/,1,False,True
B0B3TC2XXZ,"SAMSUNG Galaxy Z Fold 4 Cell Phone, Factory Unlocked Android Smartphone, 256GB, Flex Mode, Hands Free Video, Multi Window View, Foldable Display, S Pen Compatible, US Version, 2022, Gray Green",electronics,cellphones;electronics,1499.00,https://m.media-amazon.com/images/I/31n349wti-L.jpg,https://techwhizmart.com/product/samsung-galaxy-z-fold-4-cell-phone-factory-unlocked-android-smartphone-256gb-flex-mode-hands-free-video-multi-window-view-foldable-display-s-pen-compatible-us-version-gray-green__trashed/,1,False,True
B08W3LYXKG,"Samsung Galaxy A12 (64GB, 4GB) 6.5"" HD+, Quad Camera, 5000mAh Battery, Dual SIM GSM Unlocked Global 4G Volte (T-Mobile, AT&T, Metro) International Model A125M/DS (64GB SD Bundle, Black)",electronics,cellphones;electronics,169.00,https://m.media-amazon.com/images/I/51hyCkojfKL.jpg,https://techwhizmart.com/product/samsung-galaxy-a12-64gb-4gb-6-5-hd-quad-camera-5000mah-battery-dual-sim-gsm-unlocked-global-4g-volte-t-mobile-att-metro-international-model-a125m-ds-64gb-sd-bundle-black__trashed/,1,False,True
B08L7133QL,"Samsung Galaxy S20 5G, 128GB, Cloud Blue - GSM Carriers (Renewed)",electronics,cellphones;electronics,249.99,https://m.media-amazon.com/images/I/51Fiz9bexHL.jpg,https://techwhizmart.com/product/samsung-galaxy-s20-5g-128gb-cloud-blue-gsm-carriers-renewed__trashed/,1,False,True
B094HDMZP6,The Missing,electronics,electronics,6.99,,https://techwhizmart.com/product/the-missing/,1,True,False
B0BBXGV3PP,"Total by Verizon Moto g PURE, 32GB, Blue - Prepaid Smartphone (Locked)",electronics,cellphones;electronics,48.99,https://m.media-amazon.com/images/I/41zfcuozuWL.jpg,https://techwhizmart.com/product/total-by-verizon-motorola-moto-g-pure-32gb-blue-prepaid-smartphone-locked__trashed/,1,False,True
B0BPSP3BQH,"3-in-1 PC Gaming Headset&Controller Holder - EURPMASK Headphone Stand w/Adjustable Clamp&2 Controller Holder&Rotating Arm&Cable Organizer, Universal PC Gaming Accessory Controller Headset Stand-Black",gaming-gear,consoles-and-vr;gaming-gear,18.99,https://m.media-amazon.com/images/I/416QBqn9ILL.jpg,https://techwhizmart.com/product/3-in-1-pc-gaming-headsetcontroller-holder-eurpmask-headphone-stand-w-adjustable-clamp2-controller-holderrotating-armcable-organizer-universal-pc-gaming-accessory-controller-headset-stand-black/,1,True,False
B0CJT7V5JD,360 Rotating Desk Controller Headphone Holder - Larger Cup Holder with Adjustable Headset Hanger Controller Stand | Clamp On Desk Organizer | Gaming Pc Accessories,gaming-gear,consoles-and-vr;gaming-gear,19.99,https://m.media-amazon.com/images/I/41jZ7+enfvL.jpg,https://techwhizmart.com/product/360-rotating-desk-controller-headphone-holder-larger-desk-cup-holder-with-adjustable-headset-hanger-controller-stand-clamp-on-desk-organizer-gaming-desk-accessories/,1,True,False
